Period,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Sea Level Pressure,Latitude,Longitude
"Week 1 (Jan)","nyc",17.9,52.9,34.1,24.3,69.44,21.6,45.7,194.05,0.7,30.77,7.1,7.6,1017.5,40.71455,-74.00714
"Week 2 (Jan)","nyc",16,64.2,38.7,28.6,68.18,20.3,48.3,235.83,0.9,17.16,5.9,9.4,1029.5,40.71455,-74.00714
"Week 3 (Jan)","nyc",30.5,50,42,35.9,79.69,21.7,49.4,169.2,0.8,18.34,,7.4,1016.2,40.71455,-74.00714
"Week 4 (Jan)","nyc",35,55.1,41.1,29.4,64.62,27.7,56.5,223.26,2.2,26.63,,9.3,1002.2,40.71455,-74.00714
"Week 5 (Jan)","nyc",23.1,47.1,35.2,19.1,53.04,17,49.4,257.6,0.9,13.02,1.2,9.8,1016.8,40.71455,-74.00714
"Week 6 (Feb)","nyc",20,63.9,37.7,28.3,70.85,17.9,50.6,177.94,1.2,27.22,9.8,8,1012.2,40.71455,-74.00714
"Week 7 (Feb)","nyc",28.1,68,41.3,24.9,53.65,14.9,56.4,273.39,0.2,7.69,1.2,10,1007,40.71455,-74.00714
"Week 8 (Feb)","nyc",35.9,68.1,49.8,36.7,63.35,15.9,45.9,202.59,0.4,3.55,,9.5,1015.3,40.71455,-74.00714
"Week 9 (Feb)","nyc",16.9,66.9,41.7,23.1,50.34,24.9,53.9,242.79,0.1,3.55,,9.9,1022.6,40.71455,-74.00714
"Week 10 (Mar)","nyc",19.6,63.9,40.8,22.5,51.2,21.4,50.4,227.29,0.2,11.31,2,9.5,1020.6,40.71455,-74.00714
"Week 11 (Mar)","nyc",21.8,51,33.8,19.8,58.94,29.6,56.4,197.74,0.8,20.12,7.1,9,1016.6,40.71455,-74.00714
"Week 12 (Mar)","nyc",25,60.1,43.4,24.3,49.92,18.2,52.8,215.28,0.3,9.47,2,9.8,1023.5,40.71455,-74.00714
"Week 13 (Mar)","nyc",38,64.9,45.8,35.6,71.83,27.2,47.2,154.98,2.3,36.69,,8.1,1016.5,40.71455,-74.00714
"Week 14 (Apr)","nyc",39.9,65.1,49.5,36.2,64.5,28.5,51.7,186.99,2,18.93,,8.7,1008.7,40.71455,-74.00714
"Week 15 (Apr)","nyc",48.9,81.1,61.3,42.7,52.56,19.6,51.7,210.74,0.1,6.51,,9.9,1022.1,40.71455,-74.00714
"Week 16 (Apr)","nyc",46.1,73.1,54.9,43.3,67.96,15.8,47.2,146.14,0.3,14.79,,9.5,1019.8,40.71455,-74.00714
"Week 17 (Apr)","nyc",47.9,83.8,60.5,51.4,74.87,24.2,43.6,123.81,1.1,18.34,,7.8,1015.8,40.71455,-74.00714
"Week 18 (May)","nyc",48.8,74.1,59.3,46.7,66.3,22.8,51.7,187.15,2.9,11.83,,9,1008.6,40.71455,-74.00714
"Week 19 (May)","nyc",47,68,54.7,41.4,63.07,19.5,50.6,155.39,1.3,20.71,,9.5,1012.9,40.71455,-74.00714
"Week 20 (May)","nyc",53.9,89.8,70.1,51.2,52.49,19.1,50.6,226.3,0.4,13.61,,10,1016,40.71455,-74.00714
"Week 21 (May)","nyc",55.9,74,62.4,54.3,76.25,19.6,78.3,147.4,1.2,30.77,,8.9,1009.9,40.71455,-74.00714
"Week 22 (May)","nyc",56,79.8,64.7,51.5,66.21,17.9,51.7,174.96,9.9,15.38,,9.5,1015.2,40.71455,-74.00714
"Week 23 (Jun)","nyc",52.1,91.1,67.6,54.5,65.88,17.9,59.7,159.02,0.5,14.2,,9.6,1012.1,40.71455,-74.00714
"Week 24 (Jun)","nyc",64.1,95,74.9,63.1,69.59,15.6,53.9,152.96,2.5,16.57,,9.4,1014,40.71455,-74.00714
"Week 25 (Jun)","nyc",68.1,86.5,77.6,63.2,63.85,21.9,33.4,227.38,2.7,11.24,,9.4,1010.9,40.71455,-74.00714
"Week 26 (Jun)","nyc",61.6,88.9,75.4,60.5,61.76,20.3,55.3,245.83,10.4,17.75,,9.8,1015.8,40.71455,-74.00714
"Week 27 (Jul)","nyc",69.1,88.9,76.6,62.1,63.12,17,33.3,169.45,1.7,10.65,,9.7,1015,40.71455,-74.00714
"Week 28 (Jul)","nyc",65.9,91,78,67.1,70.99,19.1,59.7,209.89,0.7,21.89,,9.5,1015,40.71455,-74.00714
"Week 29 (Jul)","nyc",71.8,96,81.6,69.3,68.5,12.6,62.2,212.18,1,8.88,,9.8,1013.6,40.71455,-74.00714
"Week 30 (Jul)","nyc",64.1,83.9,72.8,61.9,70.08,20.6,49.4,109.67,1.3,11.24,,9.7,1014.6,40.71455,-74.00714
"Week 31 (Jul)","nyc",66.5,89.9,76.9,64.3,66.91,19.1,53.9,212.67,2.5,18.93,,9.8,1016.7,40.71455,-74.00714
"Week 32 (Aug)","nyc",65.9,85.9,74.4,63,69.41,11.4,53.9,204.61,0.5,14.2,,9.7,1017.5,40.71455,-74.00714
"Week 33 (Aug)","nyc",69.1,88.8,77.4,66.7,71.88,12.4,67.8,204.54,0.9,17.75,,9.6,1014,40.71455,-74.00714
"Week 34 (Aug)","nyc",66.6,91,76.1,59.9,59.34,24.6,56.4,199.55,0.4,7.69,,9.9,1017.8,40.71455,-74.00714
"Week 35 (Aug)","nyc",55.6,83.7,68.2,55.7,66.65,17.9,48.3,161.27,1.2,24.85,,9.8,1018.3,40.71455,-74.00714
"Week 36 (Sep)","nyc",58.1,87,68.9,56.9,67.3,19.9,58.6,225.85,0.5,17.16,,9.9,1016.7,40.71455,-74.00714
"Week 37 (Sep)","nyc",60,82.1,72.8,62.8,72.66,10.3,57.5,202.53,0.1,5.33,,9.4,1017.4,40.71455,-74.00714
"Week 38 (Sep)","nyc",68,93.6,75.8,62.7,65.65,22.7,55.3,151.09,0.3,10.06,,9.9,1015.7,40.71455,-74.00714
"Week 39 (Sep)","nyc",56.6,87.8,70.6,58.5,67.33,13.8,59.7,161.82,0.1,5.33,,10,1017,40.71455,-74.00714
"Week 40 (Oct)","nyc",58.8,83.8,70.3,60,71.36,13.7,49.4,201.32,0.4,8.28,,9.9,1023.3,40.71455,-74.00714
"Week 41 (Oct)","nyc",55,83.7,68.7,61.2,77.96,21.5,45.9,145.06,0.4,20.71,,9.7,1020.5,40.71455,-74.00714
"Week 42 (Oct)","nyc",46.9,79.9,63.1,46,55.91,12.5,52.8,248.1,0.1,7.69,,10,1023.4,40.71455,-74.00714
"Week 43 (Oct)","nyc",50,73.4,63.1,54.1,73.88,18.3,57.5,205.17,2,30.18,,9.4,1011.1,40.71455,-74.00714
"Week 44 (Oct)","nyc",46.6,74.7,58.3,47.6,69.22,21.8,51.7,178.21,0.3,18.82,,9.8,1018.7,40.71455,-74.00714
"Week 45 (Nov)","nyc",26.8,65.9,46.6,35,65.5,15.7,53.9,181.08,0.2,14.2,,9.9,1024,40.71455,-74.00714
"Week 46 (Nov)","nyc",39.7,59,47.9,36.4,65.62,24.6,52.8,183.64,0.4,18.34,,10,1015.8,40.71455,-74.00714
"Week 47 (Nov)","nyc",34,60.9,46.3,31.2,56.35,19.7,57.5,265.09,0.3,8.28,,10,1014.8,40.71455,-74.00714
"Week 48 (Nov)","nyc",39.7,66.6,48.4,35.5,62.42,17.8,57.2,170.3,0.5,13.02,,10,1022.7,40.71455,-74.00714
"Week 49 (Dec)","nyc",30,60.2,43.2,31.8,65.99,19.3,49.4,219.74,0.9,18.93,3.9,9.4,1016.8,40.71455,-74.00714
"Week 50 (Dec)","nyc",24,50.1,34.2,22.9,64.26,20.4,55.3,233.88,0.2,13.61,2,9.7,1012.1,40.71455,-74.00714
"Week 51 (Dec)","nyc",34,56,43.2,31.6,65.44,18.2,34.4,189.14,0.3,13.02,,9.6,1016.5,40.71455,-74.00714
"Week 52 (Dec)","nyc",12,39.8,23.7,10.5,57.75,24,52.8,271.68,0.5,17.65,,9.8,1024.6,40.71455,-74.00714
